"name","region","category","audience","positioning","core_loop","learning_format","task_types","practice","competitions","rating","projects","portfolio","ai_features","career_features","free_tier","price_snapshot","monetization","strengths","limitations","complaint_or_review_signal","retention_mechanisms","unmet_need","adapt","dont_copy","source_urls","accessed","evidence_grade"
"freeCodeCamp","Global / US-origin","Free open-source coding curriculum","Global beginners and self-taught career switchers","Fully free project-based curriculum with public verified certificates","Lesson or workshop; lab; review or quiz; required projects; exam; verified certificate; community contribution","Interactive challenges, workshops, labs, projects, exams and forum support","Coding labs, certification projects and exams","yes","unknown","unknown","yes","yes","unknown","partial: career-oriented curriculum and public credential; no placement guarantee","yes","$0; stated 100% free","Nonprofit donations, community and media ecosystem","Free content, projects and verification with open curriculum and community","Long credentials can delay value; personalized review and competition are limited","Official founder post says the 1,800-hour credential design intimidated learners and users preferred stackable 300-hour certificates; not independent outcome evidence","Project milestones, certificates, exams, forum, study groups and public verification links","Shorter time-to-value, personalized feedback and stronger authorship validation","Free stackable credentials, required projects and verification URLs","A many-hundred-hour first meaningful credential or certificate without independent authorship evidence","https://opensource.freecodecamp.org/about/ ; https://contribute.freecodecamp.org/how-to-work-on-coding-challenges/ ; https://forum.freecodecamp.org/t/introducing-new-freecodecamp-certifications/762070","2026-07-20","A for official free model and curriculum; official founder signal is B for user behavior"
"Khan Academy + Khanmigo","Global / US-origin","K-12 mastery learning and AI tutoring","K-12 learners, parents, teachers and school districts","Free mastery-oriented learning with classroom workflow and a guided AI tutor","Lesson and practice; mastery progress; teacher assignment or dashboard; optional Khanmigo dialogue","Videos, articles, practice, mastery exercises and AI-guided dialogue","K-12 exercises, quizzes and tutor conversations","yes","unknown","partial","partial","unknown","yes","unknown","yes","Core $0; Khanmigo $4/month in the US per Mar-2025 help page; District Starter $10/student/year","Nonprofit funding, donor subscription and district licenses","Trusted K-12 brand, mastery workflow, teacher controls and safer course-grounded tutor","Khanmigo geography and age access are constrained; public pages do not prove learning gain","unknown; no independent complaint sample reviewed","Mastery progress, assignments, class dashboards, tutor interaction and learning paths","Authentic coding or ML artifacts and externally interpretable evidence","Mastery map, teacher override and course-grounded Socratic assistance","Assuming AI dialogue or mastery points establish independent project skill","https://www.khanacademy.org/about/our-approach ; https://support.khanacademy.org/hc/en-us/articles/25921448458893-What-features-are-available-in-the-Learner-Parent-and-Teacher-Khanmigo-subscription-plans ; https://www.khanacademy.org/schools/pricing","2026-07-20","A for current core and school functions; B for medium-fresh Khanmigo price; outcomes unknown"
"Brilliant + Koji","Global / US-origin","Interactive STEM learning and AI help","Learners age 10+ and adults seeking visual STEM reasoning","Visual interactive problem solving with short sessions, streaks and optional AI help","Choose course or challenge; manipulate problem; receive feedback or hints; build XP and streak","Interactive visual lessons, puzzles and challenges","STEM puzzles, numerical and visual problems","yes","yes","yes","unknown","unknown","yes","unknown","yes: limited access","Current Premium numeric price unknown","B2C Premium subscription and institutional offerings","Strong visual interaction, low setup friction and reasoning-focused tasks","No portfolio or career evidence; pricing was not publicly recoverable","unknown; no independent complaint sample reviewed","Streak, XP, leagues or challenges, progress and short daily sessions","Transfer from guided visual puzzle to authentic code or data project","Interactive manipulation, concise task design and hints after effort","Equating XP, streak or league position with mastery","https://brilliant.org/help/using-brilliant/what-can-i-learn-on-brilliant-without-a-premium-subscription/ ; https://brilliant.org/help/features/what-is-a-streak/ ; https://brilliant.org/help/features/what-is-xp/","2026-07-20","A for updated mechanics and limits; price and learning effect unknown"
"Duolingo + Max","Global / US-origin","Language learning and retention benchmark","Mass-market language learners; used here as an adjacent gamification and AI benchmark","Bite-sized adaptive language practice with strong habit mechanics and AI roleplay in Max","Complete lesson; receive immediate feedback; maintain streak and league; do quests or AI roleplay","Mobile microlearning, drills, stories, speaking and AI roleplay","Language translation, listening, speaking and conversational scenarios","yes","yes","yes","unknown","partial","yes","unknown","yes","Regional or app-store plan prices unknown","Advertising and B2C subscriptions including Super and Max","Exceptional habit design, short sessions, adaptive repetition and social mechanics","Activity and language drills are not project evidence; hearts, leagues and streaks can distort goals","Official blog reports internal experiments, not an independent complaint or outcome sample","Streak, freeze, hearts, leagues, quests, friends, notifications and AI roleplay","Learning-aligned retention without punitive failure or activity-only optimization","Forgiving streak, short session and collaborative quests with learning guardrails","Punitive hearts, public league or streak as a skill credential","https://blog.duolingo.com/duolingo-max/ ; https://blog.duolingo.com/duolingo-101-how-to-learn-a-language-on-duolingo/ ; https://blog.duolingo.com/improving-the-streak/","2026-07-20","A for official mechanics; M for company-reported experiment effects; price unknown"
"Hyperskill / JetBrains Academy","Global / Europe-origin","Project-first coding education","Beginners and junior developers learning through IDE-connected projects","Project-first programming education tied to staged work in a real IDE","Select project; learn prerequisite topic; implement stage in IDE; test; continue to completed project","Project stages, theory, quizzes, code exercises, IDE integration and AI assistance","Programming tasks, project stages, tests and quizzes","yes","unknown","partial","yes","yes","yes","partial","yes: limited free content","€49.90/month or €399/12 months","B2C subscription and institutional offerings","Authentic project progression, IDE workflow and explicit prerequisite graph","Cost and long project paths can delay first value; no competition liquidity","unknown; no independent complaint sample reviewed","Project stages, unlocks, progress, completed artifacts and learning paths","Independent review, shorter first artifact and validated career signal","Project decomposition, real IDE workflow and prerequisite-on-demand","Long paid path before a meaningful artifact or project completion as proof of mastery","https://hyperskill.org/pricing ; https://support.hyperskill.org/hc/en-us/articles/16378065753236-Subscription-plans ; https://hyperskill.org/guide","2026-07-20","A for current price, limits and functions; outcomes unknown"
"StrataScratch","Global / US-origin","Data interview practice","Candidates for data, analytics and ML roles","Realistic interview questions and portfolio labs for data roles","Choose company or role question; solve SQL or Python; compare or receive AI help; build profile or lab","Browser coding, interview questions, portfolio projects, daily challenges and AI assistance","SQL, Python, data analysis, interview questions and labs","yes","partial","yes","yes","yes","yes","yes","yes","Current numeric price unknown","B2C subscription and employer or content partnerships","Focused data-role intent, realistic tasks and public portfolio layer","Real-company provenance and hiring effect are marketing claims unless independently verified; price unknown","unknown; no independent complaint sample reviewed","Daily challenges, leaderboard, question bank, profile and interview goals","Independent authorship and evidence that task performance transfers to work","Role-specific realistic tasks and portfolio labs","Real-company label or rank as proof without provenance and validity","https://www.stratascratch.com/ ; https://www.stratascratch.com/contact-us ; https://www.stratascratch.com/about","2026-07-20","A for observed functions; M for counts or real-company claims; price unknown"
"Interview Query","Global / US-origin","Data and ML interview preparation","Candidates for analytics, data science and ML interviews","Structured study plan over role-specific questions, mock interviews and projects","Assess readiness; follow study plan; solve question; use explanation or AI help; practice interview","Question bank, study plans, case studies, projects, mocks and AI feedback","SQL, statistics, product sense, ML, coding and take-home cases","yes","unknown","partial","yes","unknown","yes","yes","partial","$79/month, $199/year or $299 lifetime USD; official FAQ contains a typo","B2C subscriptions and lifetime access","Role-specific breadth and direct interview intent","Pricing evidence is triangulated across official pages; no independently verified placement effect","Official FAQ typo is a documentation-quality signal, not a user complaint; no independent review sample","Study plans, progress, mocks, question bank and hiring-cycle urgency","Portable project evidence and employer-calibrated validation","Role-specific readiness map and mock interview loop","Marketing outcome or company-question claims without audited denominator","https://www.interviewquery.com/p/faq ; https://www.interviewquery.com/p/data-interview ; https://www.interviewquery.com/p/interview-study-plans","2026-07-20","B for official but inconsistent pricing pages; M for outcome claims"
"DeepLearning.AI","Global / US-origin","AI and ML courses","AI builders, students and professionals","Authoritative short courses and professional programs from well-known instructors","Choose course; watch or read; complete labs or projects; earn certificate; continue path","Video, notebooks, quizzes, labs and projects","ML, deep learning, generative AI labs and projects","yes","unknown","unknown","yes","yes","unknown","partial","yes: videos and selected access","Free $0; Pro $50/month or $300/year USD","B2C membership, partner courses and enterprise relationships","Topical authority, current AI catalog and hands-on labs","No competition or independent assessment layer; provider certificate does not establish authorship","unknown; no independent complaint sample reviewed","Course paths, certificates, new short courses and membership catalog","Delayed transfer, reviewer feedback and verified process evidence","Concise expert instruction and lab-to-project milestones","Authority or certificate as a substitute for independent performance evidence","https://learn.deeplearning.ai/membership","2026-07-20","A for current price and gates; M for catalog or impact claims"
"fast.ai","Global / Australia/US-origin","Open practical deep learning course","Programmers with basic coding who want practical deep learning","Top-down practical course from working model to underlying concepts","Follow lessons; run notebooks; build models or projects; discuss in community","Recorded lessons, open book, notebooks and forum-supported projects","Deep learning notebooks and practical projects","yes","unknown","unknown","yes","partial","unknown","partial","yes","$0","Open-source education and community ecosystem","Free, respected practical approach and early contact with real models","Course version is dated 2022; prerequisites and self-direction can be a barrier; no integrated assessment","unknown; no independent complaint sample reviewed","Project progress, forum community and learner-created artifacts","Beginner diagnostics, current maintenance and externally validated assessment","Top-down authentic project and open materials","Assuming self-paced completion or notebook reproduction proves independent mastery","https://course.fast.ai/","2026-07-20","A/B for official 2022 course and free status; current effectiveness unknown"
"Hugging Face Learn","Global / Europe/US-origin","Open ML and LLM ecosystem courses","ML, NLP, LLM and agent developers","Learn inside the same ecosystem used to publish models, datasets and demos","Study chapter; run notebook; complete exercise or project; publish artifact to Hub","Open text courses, notebooks, exercises, projects and community artifacts","NLP, LLM, agents, audio, vision and model or dataset projects","yes","unknown","unknown","yes","yes","unknown","partial","yes","Courses $0 and ad-free","Open-source ecosystem and enterprise platform value","Free current ecosystem-native learning and portable public artifacts","Prerequisites can be high; certification state is ambiguous across pages; no controlled skill assessment","unknown; no independent complaint sample reviewed","Course progression, community, Hub publishing and visible artifacts","Scaffolded beginner path and independent assessment of artifact authorship","Learning tied to a real public model, dataset or demo workflow","Hub popularity or completion badge as a universal skill score","https://huggingface.co/learn ; https://huggingface.co/learn/llm-course/chapter1/1","2026-07-20","A for live catalog and free status; certification or outcome claims unknown"
"Google Machine Learning Crash Course","Global / US-origin","Free ML foundations course","New and practicing ML learners with Python and mathematics prerequisites","Compact official introduction to core ML concepts with browser exercises","Read or watch module; work interactive exercise or Colab; continue topic sequence","Text, video, interactive visualizations, quizzes and Colab exercises","ML concepts, numerical exercises and coding labs","yes","unknown","unknown","partial","unknown","unknown","unknown","yes","$0","Google developer ecosystem and training","Authoritative free foundation, clear prerequisites and browser-based exercises","Not designed as a competition, portfolio or career credential; prerequisite barrier for school beginners","unknown; no independent complaint sample reviewed","Module sequence and exercises; no strong habit mechanism confirmed","Project feedback, community and evidence of transfer","Clear prerequisites, concise explanations and Colab practice","Official content completion as proof of independent skill","https://developers.google.com/machine-learning/crash-course ; https://developers.google.com/machine-learning/crash-course/prereqs-and-prework","2026-07-20","A for live official curriculum and prerequisites; outcomes unknown"
"CodeSignal Learn","Global / US-origin","Adaptive coding learning and assessment","Learners, candidates, universities and employers","Learning and assessment connected through a shared skill ontology and AI tutor","Diagnose or choose path; learn with Cosmo; solve tasks; build skill profile; move to assessment or career use","Adaptive lessons, browser practice, AI tutor, assessments and profile","Coding questions, skill assessments and guided learning tasks","yes","unknown","yes","partial","yes","yes","yes","yes","Cosmo+ $24.99/month USD; B2B separate","B2C subscription and B2B assessment or learning contracts","Integrated skill graph, AI help, assessment and employer distribution","Vendor score validity and project depth are not established by product pages","unknown; no independent complaint sample reviewed","Skill graph, profile, streak or progress, AI tutor and assessment milestones","Transparent evidence linking score to authentic work","Shared learning-assessment ontology and explainable next task","Opaque employer score or AI-assisted task presented as independent mastery","https://codesignal.com/pricing ; https://support.codesignal.com/hc/en-us/articles/21025134150423-How-do-I-practice-coding-questions-on-CodeSignal ; https://support.codesignal.com/hc/en-us/articles/41329274118167-Learn-Academy-FAQ-for-Learners","2026-07-20","A for current pricing, practice and academy functions; validity claims unknown"
"Dataquest","Global / US-origin","Project-based data education","Career switchers and beginners in data","Text-first guided paths that teach through code and portfolio projects","Read concise explanation; code in browser; complete guided project; progress through career path","Text lessons, coding exercises, projects and periodic challenges","Python, SQL, data analysis, statistics and projects","yes","partial","partial","yes","yes","unknown","yes","partial","$49/month or $399/year USD from official 2026 material","B2C subscription","Low video dependency, frequent code practice and portfolio-oriented paths","Price came from provider comparison material because checkout was unavailable; guided projects remain scaffolded","unknown; no independent complaint sample reviewed","Career paths, project milestones, progress and time-limited challenges","Independent capstone review and stronger authorship evidence","Text-first code practice and early portfolio projects","Provider comparison claims or guided project completion as job readiness","https://www.dataquest.io/blog/dataquest-vs-datacamp/ ; https://support.dataquest.io/en/articles/853-dataquest-march-madness-challenge-2026","2026-07-20","B/M for official self-comparison and price; functions observed; outcomes unknown"
"Educative","Global / US-origin","Text-based developer education and interview prep","Professional developers and interview candidates","Interactive text courses and paths with in-browser code and AI help","Read; run code or answer assessment; continue path; build project or prepare for interview","Text lessons, code playgrounds, assessments, projects and AI assistance","Programming, system design, interview questions and projects","yes","unknown","partial","yes","partial","yes","yes","partial: several free courses","Promo Standard $149/year and Premium $199/year USD; promotional and renewal terms may differ","B2C subscriptions and B2B enterprise licenses","Fast text-based workflow, broad developer catalog and browser execution","Catalog breadth and guided content do not prove transfer; promotional pricing needs renewal context","unknown; no independent complaint sample reviewed","Paths, assessments, projects, AI help and interview goals","Independent project review and a clearer evidence layer","Executable text lesson, assessment and role path","Large catalog or interview completion as professional certification","https://www.educative.io/unlimited ; https://www.educative.io/checkout/subscription-buy?plan=200-12-6000 ; https://www.educative.io/enterprise-pricing","2026-07-20","A for live plan pages; M for catalog counts and comparisons"
"Scrimba","Global / Europe-origin","Interactive screencast coding education","Frontend and coding beginners, career switchers","Editable screencasts and projects inside a guided career path","Watch interactive cast; pause and edit code; complete challenge or project; use community and career path","Interactive screencasts, code challenges, projects, community and AI assistance","Frontend coding, projects and interview tasks","yes","unknown","unknown","yes","yes","yes","yes","yes: 25 courses stated free","$49/month or $294/year USD from official 2026 comparison material; live checkout unreadable","B2C subscription and team or partner offerings","Distinct edit-the-lesson interaction, community and project-based career paths","Numeric price relies on self-comparison page; frontend emphasis is narrower than Arena ML","unknown; no independent complaint sample reviewed","Interactive casts, projects, community, career milestones and AI help","Independent assessment and data or ML depth","Editable explanation with immediate hands-on modification","Provider outcome claims or course portfolio as verified employability","https://scrimba.com/pricing ; https://scrimba.com/articles/scrimba-vs-udemy-for-learning-to-code-which-platform-is-right-for-you/","2026-07-20","B/M for official self-comparison and numeric price; current checkout unknown"
"Sololearn + Kodie","Global / Europe-origin","Mobile-first coding learning","Mobile-first coding and AI beginners","Bite-sized coding lessons, community competition and AI assistant Kodie","Complete short lesson or challenge; receive feedback; earn XP or rank; interact with community or Kodie","Mobile and web micro-lessons, code practice, challenges and AI chat","Programming exercises, quizzes and code challenges","yes","yes","yes","partial","partial","yes","partial","yes","Pro and Max exist; stable current numeric price unknown","Advertising and B2C subscriptions","Low-friction mobile entry, community and strong habit layer","Short exercises and game metrics do not prove end-to-end project skill; price unknown","unknown; no independent complaint sample reviewed","XP, streak, leagues, challenges, community and Kodie","Scaffold fading and reproducible portfolio artifact","Mobile practice, community challenge and contextual AI help","XP or league rank as mastery; AI producing assessed answer","https://www.sololearn.com/en/Learn/ ; https://www.sololearn.com/en/learn-with-ai","2026-07-20","A for observed product formats; M for scale claims; price unknown"
"Mimo","Global / Europe-origin","Mobile and web coding education","Coding beginners seeking a career path","Bite-sized lessons leading to projects and a career path with AI tutor","Complete lesson; code; maintain progress; build project; follow career path; use AI tutor","Mobile or web lessons, code exercises, projects and AI tutor","Python, web development, SQL and projects","yes","unknown","partial","yes","yes","yes","yes","yes","Own 2026 material states Pro $9.99/month and Max $39.99/month; live pricing hidden","B2C subscriptions","Accessible mobile learning, projects, career framing and AI help","Numeric price is not from live checkout; guided mobile tasks may not transfer to independent repo work","unknown; no independent complaint sample reviewed","Progress path, streak-like habit, projects, AI tutor and career milestones","External workflow transfer and independently reviewed artifacts","Short practice to project path with contextual tutor","Hidden live price or mobile completion as evidence of job readiness","https://mimo.org/pro ; https://mimo.org/blog/coding-apps-for-beginners ; https://mimo.org/blog/best-python-courses-for-beginners","2026-07-20","A for plan gates; B/M for provider article prices and counts"
"LabEx + Labby","Global / Asia-origin","Hands-on cloud labs","Linux, DevOps, cybersecurity and programming learners","Browser virtual machines and step-by-step labs with AI helper","Open lab; perform task in browser VM; validate; ask Labby; complete path or challenge","Browser VM labs, exercises, projects and AI assistance","Linux, DevOps, cybersecurity, Python and programming labs","yes","partial","partial","yes","partial","yes","partial","yes","Pro $99.90/year; limited two-year offer $149 USD","B2C Pro subscription and limited offers","Real environment, high hands-on ratio and no local setup","Catalog counts are marketing claims; guided lab completion is not independent production skill","unknown; no independent complaint sample reviewed","Lab paths, validations, projects, challenges and AI helper","Open-ended artifacts and calibrated assessment","Browser sandbox, preflight and task validation","Unlimited hint dependence or lab completion as professional skill score","https://labex.io/pricing ; https://support.labex.io/en/using-labex/welcome ; https://labex.io/exercises","2026-07-20","A for current pricing and observed functions; M for catalog claims"
"GitHub Skills + Copilot","Global / US-origin","Repository workflow learning and AI coding assistant","Students and developers learning real GitHub workflows","Complete guided tasks in a real repository, optionally with Copilot assistance","Create or fork repository; follow issue or bot instructions; commit or open PR; receive automated feedback","Repository exercises, issues, pull requests, code and AI assistance","Git, GitHub workflow, code changes and project tasks","yes","unknown","unknown","yes","yes","yes","partial","yes","Skills $0; Copilot Free $0, Pro $10, Pro+ $39, Max $100/month USD","Copilot subscriptions and GitHub platform ecosystem","Authentic repo workflow, portable artifact and ubiquitous developer distribution","AI contribution can obscure authorship; Skills coverage is workflow-specific, not a full curriculum","unknown; no independent complaint sample reviewed","Repository completion, pull-request feedback, visible contribution history and Copilot use","Assessment mode that discloses and evaluates AI contribution","Teach inside real version-control workflow and preserve commits","Treating GitHub activity or Copilot-assisted output as independent mastery","https://github.com/skills ; https://github.com/features/copilot/plans ; https://docs.github.com/en/copilot/how-tos/copilot-on-github/set-up-copilot/enable-copilot/set-up-for-students","2026-07-20","A for live prices, limits and official workflow; outcomes unknown"
