job_id,company,country,region,publication_date,accessed_date,status,position,level,employer_type,required_skills,preferred_skills,education,experience,stack,responsibilities,source_url,evidence_grade,notes,python,functions_classes,decorators,typing,testing,numpy,pandas,eda,visualization,sql,window_functions,probability,statistics,ab_testing,linear_algebra,classical_ml,metrics,validation,leakage,feature_engineering,ranking,recommendation,nlp,cv,deep_learning,pytorch,git,linux,docker,api,fastapi,deployment,monitoring,mlflow,cloud,english,algorithms,commercial_experience,portfolio
RUEU011,Amazon Robotics,Germany,Berlin,not stated,2026-07-20,live,Software Development Engineer Intern — Machine Learning,intern / BSc+,big tech / robotics,Enrolled BSc+ in CS/CE/DS/IS or STEM; graduation Oct 2026–Sep 2029; AI/neural-network/TensorFlow/PyTorch experience; data structures or algorithms or OOP,Technical internship/project; cloud/AWS; SQL/NoSQL; open source; version control; debugging; SDLC,Current Bachelor's degree or above,Project or prior internship preferred,PyTorch/TensorFlow; AWS; SQL/NoSQL; cloud-native microservices; CI/CD; monitoring,Build scalable services; own code lifecycle through deployment/operations; simplify ML training infrastructure; extend training monitoring; develop robot perception models,https://amazon.jobs/en/jobs/10401402/software-dev-engineer-intern-machine-learning-amazon-robotics,A,Official Amazon page showed Apply now on access; publication date absent.,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,yes,unknown,unknown,yes,unknown,yes,yes,unknown,yes,unknown,yes,unknown,yes
RUEU012,European Space Agency,Germany,Porz-Wahn,2026-07-01,2026-07-20,live,"Intern — Software & AI Team, XR-Lab",intern / university,intergovernmental research lab,"Current university student, preferably Master's; Unreal/Unity; intermediate C++ and/or Python; XR/ML interest; version control","Computer vision, Bayesian theory or signal processing; prototyping, experimentation or technical evaluation",Enrolled university student for whole internship,Proven engine-development background; no commercial tenure stated,Python/C++; Unreal/Unity; Git/version control; computer vision; sensor/data pipelines,Prototype and evaluate XR+ML software for ISS Meta Quest applications; implement data/CV functions; test and validate in safety-relevant settings,https://jobs.esa.int/job/Porz-Wahn-Intern-in-the-Software-%26-Artificial-Intelligence-Team%2C-XR-Lab/1409877933/,A,Official page gave closing date 2026-07-29 and Apply now; live on snapshot. ESA nationality constraints apply.,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown
RUEU013,European Space Agency,Netherlands,Noordwijk,2026-07-01,2026-07-20,live,Intern — Data Management & AI Readiness,intern / university,intergovernmental research lab,"Current university student, preferably Master's; data-science/data-management/CS background is an asset",Python with pandas/numpy/Jupyter; SQL or similar data tools,Enrolled university student for whole internship,No commercial tenure stated,Python; pandas; NumPy; Jupyter; SQL; metadata; FAIR; clustering/text-search prototypes,Perform EDA and metadata tagging; profile data assets; automate enrichment; assess datasets for AI/ML; prepare mission data for training/analytics,https://jobs.esa.int/job/Noordwijk-Intern-in-the-Software-%26-Artificial-Intelligence-Team%2C-Future-Initiatives/1409872933/,A,Official page gave closing date 2026-07-29 and Apply now; live on snapshot. ESA nationality constraints apply.,yes,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown
RUEU014,European Space Agency,Netherlands,Noordwijk,2026-06-30,2026-07-20,live,Junior Professional — AI & Data Science,junior / up to 3 years,intergovernmental research lab,"Master's in CS/AI/related; up to three years experience; AI/ML and big-data frameworks; supervised/unsupervised/RL, NLP, LLM, trustworthy AI",Space systems/applications and standards awareness,Master's degree required,Up to 3 years after Master's,AI/ML; data warehouse/lake; NLP/LLM; HPC; trustworthy AI,"Develop, adapt and deploy AI for mission design/on-board insights; validate robustness/explainability/safety; build demonstrations and benchmarks",https://jobs.esa.int/job/Noordwijk-Junior-Professional-in-AI-and-Data-Science/1409757933/,A,Official page gave closing date 2026-07-28 and Apply now; live on snapshot. Four-year junior programme; nationality constraints apply.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown
RUEU015,European Space Agency,Netherlands / France,Noordwijk / Paris,2026-06-30,2026-07-20,live,Junior Professional — Business Process Automation & Optimisation,junior / up to 3 years,intergovernmental research lab,Master's in engineering/data science/CS/business analytics; AI/ML and automation; data visualisation; SQL/Python/DAX/VBA or similar,"Finance, controlling, procurement, industrial policy or digital transformation",Master's degree required,Up to 3 years,Python; SQL; Power BI; Excel; DAX/VBA; GenAI/agents; workflow automation,Analyse structured/unstructured data; prototype/test AI solutions; validate data accuracy; automate reports and workflows; support predictive analytics,https://jobs.esa.int/job/Noordwijk-Junior-Professional-in-Business-Process-Automation-and-Optimisation/1409911733/,A,Official page gave closing date 2026-07-28 and Apply now; live on snapshot. Nationality constraints apply.,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown
RUEU016,Google DeepMind,United Kingdom / France / Switzerland,London / Paris / Zurich matching,not stated,2026-07-20,live,Student Researcher Program 2025–2026,"intern / BS, MSc or PhD",big tech AI research lab,"Enrolled in Bachelor's, Master's or PhD programme; location-specific requirements handled by matched Google role",not stated on programme page,"Current Bachelor's, Master's or PhD student",not stated,"Role-dependent; research, science and engineering teams",12–24 week paid in-person research placement; collaborate on frontier AI and social-good applications,https://deepmind.google/student-researcher-program/,B,"Official programme page showed Apply now for the 2025–2026 cycle. It is a pooled programme rather than one fixed vacancy, so no stack was inferred.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
RUEU017,Mistral AI,France / United Kingdom,Paris / London,not stated,2026-07-20,live,Applied Scientist / Research Engineer Intern,intern / MSc or PhD preferred,AI startup / lab,"Fluent English; expert PyTorch or JAX; high-performance Python; track record in personal, professional or academic projects",MSc/PhD; 3–6 months; agents/multimodality/robotics/diffusion/time series; large codebase; publications; typing/tests/CI,MSc or PhD in relevant field preferred,Project/research track record required; commercial tenure not mandatory,Python; PyTorch/JAX; GPU clusters; RAG/agents; multimodal models; CI,Pre/post-train and deploy SOTA text/image/speech models; curate data; evaluate models; build training/deployment tools; manage client research,https://jobs.lever.co/mistral/426ef8c0-eb26-4004-a690-f33c62b445a7,A,Official Mistral Lever page showed active apply action; publication date absent.,yes,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,yes,unknown,unknown,yes
RUEU018,Crossing Minds,France,Paris,not stated,2026-07-20,live,Applied Machine Learning Engineer Intern,intern,AI startup,"Python, NumPy, pandas; data exploration/visualisation/features/model tuning; ML optimisation; feature engineering",Recommenders via internship/course/personal project; Git/design patterns/large codebases; professional MLE or customer-facing experience,not stated,Entry-level; recommender project/course accepted; professional MLE optional,Python; NumPy; pandas; Git; recommender systems; embeddings,Explore datasets; train/tune models; deliver recommendations; improve the recommendation platform,https://jobs.lever.co/crossing-minds/0161efe4-4564-4a17-aa98-f1de6d561ec5,A,Official company Lever page showed active apply action; company-wide language explicitly English; publication date absent.,yes,unknown,unknown,unknown,unknown,yes,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,yes,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes,yes
RUEU019,RIVR,Switzerland,Zurich,not stated,2026-07-20,live,Reinforcement Learning Intern,intern / BSc+,robotics startup / lab,BSc in robotics/engineering/CS or equivalent; RL coursework/projects; Python; PyTorch/JAX/TensorFlow; analytical skills,Implemented RL algorithms; IsaacSim familiarity,At least Bachelor's degree,Coursework or projects required; no commercial tenure stated,Python; PyTorch/JAX/TensorFlow; IsaacSim; robotics hardware,"Develop, debug and test RL algorithms; extend simulation/hardware evaluation stack; integrate software with robots",https://jobs.lever.co/rivr/5798a1e4-a941-41a4-b332-fcb201027620,A,"Official company Lever page showed active apply action. Schengen-citizen restriction applies, with stated ETHZ/EPFL exception.",yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,yes
RUEU020,Revel Robotics,Czech Republic,Prague / Hradec Kralove,not stated,2026-07-20,live,Machine Learning Intern,intern,robotics startup / lab,Python and some ML; reliability and rapid learning,PyTorch; robotics,not stated,not stated,Python; PyTorch; robotics data/training stack,Build datasets; run experiments; develop tooling and evaluation for humanoid-robot training,https://jobs.ashbyhq.com/revelrobotics/9435e152-513a-4dc8-8ba0-bdc73cb9c8c7,B,Official company Ashby page exposed an active application in indexed content but required JavaScript in direct text fetch; publication date absent.,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown

