job_id,company,country,region,publication_date,accessed_date,status,position,level,employer_type,required_skills,preferred_skills,education,experience,stack,responsibilities,python,functions_classes,decorators,typing,testing,numpy,pandas,eda,visualization,sql,window_functions,probability,statistics,ab_testing,linear_algebra,classical_ml,metrics,validation,leakage,feature_engineering,ranking,recommendation,nlp,cv,deep_learning,pytorch,git,linux,docker,api,fastapi,deployment,monitoring,mlflow,cloud,english,algorithms,commercial_experience,portfolio,source_url,evidence_grade,notes
ASIA011,DBS Bank,Singapore,Singapore,not stated,2026-07-20,archived_closed,DBS AI & Data Science Internship 2026,intern,bank,Penultimate undergrad/postgrad; Python; algorithms; ML; 12 weeks,LLMs; GenAI; agents,"Bachelor's/master's in Computing, DS, Analytics, AI or related",Student; commercial experience not stated,Python; PyTorch; LLM/agents; MLOps,Build production AI/ML; evaluate/guardrail; deploy/monitor,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,yes,unknown,unknown,https://www.dbs.com/careers/internships/dsi,A-primary-archived,Page explicitly says Application Closed; kept as 2026 bank benchmark.
ASIA012,Amazon,India,Bengaluru / Hyderabad / Chennai / Delhi,not stated,2026-07-20,live_open,"Applied Scientist Intern, University Talent Acquisition",intern,big_tech,Age 18+; analytical capability; ML/statistical modeling,ML/DL/NLP/CV research; publications,Bachelor's/master's/PhD pathway described,Full-time commitment; commercial experience not stated,Stack not stated,Develop ML/NLP/DL/CV algorithms; prototype and potentially productionize,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,yes,https://amazon.jobs/en/jobs/3038934/applied-scientist-intern-amazon-university-talent-acquisition,A-primary-live,"Apply now shown. Python not named in visible qualifications, so unknown."
ASIA013,Microsoft Research India,India,Bengaluru,not stated,2026-07-20,archived_closed,Research Fellows Program 2026,entry_level_research_fellow,industrial_research_lab,Completed degree; academic performance; development and research aptitude,No fixed stack,Graduate by summer 2026; CS-related and other backgrounds allowed; no PhD,Designed mainly for graduates within past 3 years,Varies by project,"Spend 1-2 years in ideation, implementation, evaluation, deployment",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,https://www.microsoft.com/en-us/research/academic-program/research-fellows-program-at-microsoft-research-india/,A-primary-archived,Applications 7 Jan-15 Feb 2026; Jul start. Broad examples are not skill flags.
ASIA014,IIIT Hyderabad / Amgen Scholars,India,Hyderabad,not stated,2026-07-20,archived_closed,Amgen Scholars 2026 AI/ML Research Program,undergraduate_research_intern,university_research_program,Full-time availability; AI/ML health/science interest; future PhD interest,Project-specific skills not stated,Eligible undergraduate students from Asia,Student; commercial experience not stated,Project-specific,Mentored AI/ML research; report; poster/oral presentation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://amgenscholars.iiit.ac.in/details.html,A-primary-archived,Official dates 7 Jun-6 Aug 2026; not a live application.
ASIA015,Deutsche Bank,India,Pune / Bengaluru,not stated,2026-07-20,archived_closed_campus,"2026 Graduate Programme - Technology, Data & Innovation",graduate_program,bank,Graduate eligibility; work authorization; campus selection,Role-specific skills not stated,Complete studies 1 Jan-1 Jul 2026,No more than 12 months relevant full-time experience,Stack not stated,"Technology, Data & Innovation track; project specifics not stated",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://careers.db.com/students-graduates/your-application/?language_id=1,A-primary-archived,India recruitment was partner-campus only Jul-Dec; cohort starts Jul 2026.
ASIA016,Preferred Networks,Japan,Tokyo,2026-03-25,2026-07-20,archived_closed,2026 Summer Internship - AI R&D,intern,ai_startup_scaleup,Student 18+; fundamental CS; deep-learning interest; Japanese or English; work eligibility,Theme skills; achievements/programming considered,Current student; not full-time employed,Student; former PFN interns ineligible,Theme-specific LLM/CV/infrastructure/scientific ML,Join R&D team and produce development/research output,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,yes,https://www.preferred.jp/en/careers/internship,A-primary-archived,Closed 19 Apr 2026; work right in Japan required.
ASIA017,LY Corporation,Japan,Tokyo,not stated,2026-07-20,archived_closed,GenAI x large-scale data advertising R&D (MLE-6-34),intern,internet_platform,Linux; Spark/SQL; statistics/ML; algorithms; GitHub/Docker/Python; ML/LLM research,Kaggle; papers; ETL; ad-tech,Currently enrolled; no high-school students,Must not have full-time employee experience; Japan work eligibility,Python; SQL; Spark; GitHub; Docker; LLM/VLM,Train targeting/multimodal models; real-time inference; online A/B tests,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,yes,yes,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,yes,yes,yes,unknown,unknown,yes,unknown,unknown,unknown,unknown,yes,no,yes,https://www.lycorp.co.jp/ja/recruit/newgrads/internship/detail/MLE-6-34/,A-primary-archived,Japanese-only; deadline 25 May 2026. Conservative translation.
ASIA018,NAVER,South Korea,Location not stated,not stated,2026-07-20,archived_deadline_passed,Efficient World Models Research Intern,research_intern,internet_platform,Relevant bachelor's; top AI publication; research collaboration,Multi-node training; CUDA; WebGL; Hugging Face/GitHub deployment; awards,"Bachelor's in CS, EE or related, including expected graduates",New-hire track; commercial experience not stated,NVIDIA Cosmos 3; CUDA; WebGL; Hugging Face,Research interactive world models; reduce latency; evaluate physical-AI models,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,https://recruit.navercorp.com/rcrt/view.do?annoId=30005100&lang=en,A-primary-archived,Korean text. Deadline 20 Jul 2026 10:00 KST had elapsed.
ASIA019,Grab,Malaysia,"Petaling Jaya, Selangor",not stated,2026-07-20,live_open,"Intern, Machine Learning Engineer",intern,regional_technology_platform,Quant degree; foundation models; Python; PyTorch/TensorFlow; MLOps,Large-scale pipelines,"Degree in Statistics, Mathematics, CS or related",Start May 2026 onward for 3+ months,Python; PyTorch/TensorFlow; foundation models; MLOps,Build multimodal models/compression/pipelines/evaluation; integrate apps,yes,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,unknown,unknown,yes,yes,yes,yes,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://jobs.smartrecruiters.com/Grab/744000125022409-intern-machine-learning-engineer,A-primary-live,Paid onsite role; official ATS retains active interest control.
ASIA020,Grab,Malaysia,"Petaling Jaya, Selangor",not stated,2026-07-20,live_open,"Intern, Data Scientist (Analytics)",intern,regional_technology_platform,Quant degree; SQL/Python/R; visualization; statistics/experiments,Power BI/Tableau,"Pursuing CS, DS/Analytics, Statistics, Mathematics or related",Start Aug 2026 for 3+ months,SQL; Python/R; Power BI/Tableau,Analyze products; define metrics; A/B tests; pipelines/models/dashboards,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,yes,unknown,unknown,yes,yes,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,https://jobs.smartrecruiters.com/Grab/744000128207779-intern-data-scientist-analytics-,A-primary-live,Official ATS gives onsite Petaling Jaya and active interest control.
ASIA021,NielsenIQ,Malaysia,City not stated,not stated,2026-07-20,live_open,Data Science Intern,intern,market_research_technology,Quant degree; Python and Power BI; English,Mandarin,"Bachelor's/master's in Math, DS, Statistics, CS, Engineering or related",Student; commercial experience not stated,Python; Power BI; Microsoft Office,Clean/validate/extract data; basic analysis; prototypes/dashboards,yes,unknown,unknown,unknown,unknown,unknown,unknown,yes,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,https://jobs.smartrecruiters.com/NielsenIQ/744000131589861-data-science-intern,A-primary-live,Official ATS shows internship and MYR stipend; exact city/date absent.
