"job_id","company","country","region","publication_date","accessed_date","status","position","level","employer_type","required_skills","preferred_skills","education","experience","stack","responsibilities","python","functions_classes","decorators","typing","testing","numpy","pandas","eda","visualization","sql","window_functions","probability","statistics","ab_testing","linear_algebra","classical_ml","metrics","validation","leakage","feature_engineering","ranking","recommendation","nlp","cv","deep_learning","pytorch","git","linux","docker","api","fastapi","deployment","monitoring","mlflow","cloud","english","algorithms","commercial_experience","portfolio","source_url","evidence_grade","notes"
"US011","Google","Canada","Waterloo ON; Montreal QC; Toronto ON","not stated","2026-07-20","archived","Student Researcher, PhD, Winter/Summer 2026","PhD student researcher","big tech / research","Current PhD in listed technical/quantitative field; experience in one CS area; located in Canada for engagement","Return to degree; Canadian degree program; prior research; publications; Python, Java, JavaScript or C/C++","PhD in progress","Research experience preferred, not required","Python; Java; JavaScript; C/C++ are preferred examples","Participate in exploratory research on real-world large-scale problems across Google research teams","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","https://www.google.com/about/careers/applications/jobs/results/97480706799608518-student-researcher-phd-wintersummer-2026","A","Posting explicitly calls itself a future vacancy, but its application window ended 2026-07-17. Classified archived, not live."
"US012","Cohere","United States | Canada","Remote; Toronto; Montreal; San Francisco; New York","not stated","2026-07-20","live","Machine Learning Intern / Co-op, Fall 2026","post-secondary intern","AI startup / foundation models","Currently enrolled post-secondary student; full-time 3-6 month work term; Python and related ML frameworks; distributed training familiarity; transformers; applied NLP interest","CUDA kernels; TPU training; top-tier publications","Post-secondary program in progress","Large-scale distributed training experience requested; publications bonus","Python; TensorFlow; TF-Serving; JAX; XLA/MLIR; CUDA; TPU","Design and train models; improve safe and fast serving; train at scale; explore continual and active learning; work with product teams","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://jobs.ashbyhq.com/cohere/36d1f52f-8270-4652-adf5-5303a0ff341b","A","Original employer-controlled ATS page exposes Apply for this Job and Fall 2026. Bonus qualifications are not counted as mandatory."
"US013","Faire","United States","San Francisco CA","not stated","2026-07-20","live","Data Science Intern","MS/PhD intern or recent graduate","marketplace startup / scale-up","MS/PhD student or recent graduate in quantitative field; real datasets; Python, sklearn, NumPy, pandas, SQL; ML and statistical methods; end-to-end project or paper record","Team-specific GenAI/search, recommendation, growth modeling, Redshift or Mode experience","Master or PhD current/recent","End-to-end DS projects or research papers required as evidence","Python; sklearn; NumPy; pandas; SQL; optional Redshift and Mode","Define and execute ML algorithms; A/B test; solve search, personalization and marketplace problems; communicate results","yes","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","yes","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","https://job-boards.greenhouse.io/faire/jobs/8376377002","A","Primary posting says it is an existing vacancy and application form is available. Team-specific items remain preferences rather than universal requirements."
"US014","Toyota Research Institute","United States","Los Altos CA","not stated","2026-07-20","live","Human Interactive Driving Intern - World Models, Fall 2026","PhD research intern","industrial research lab / automotive","Current PhD; strong ML including deep learning, generative models, RL or probabilistic modeling; relevant world-model/perception/simulation experience; publications; Python and PyTorch","AWS S3, EC2, SageMaker; open-source driving datasets","PhD in progress","Relevant research and top-tier publications required","Python; PyTorch; AWS S3; EC2; SageMaker; driving datasets and simulation","Research world models and autonomous driving; train and evaluate systems; prototype in simulation/hardware; publish","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","yes","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","yes","https://jobs.lever.co/tri/63d61db3-ac43-4c0d-8b9b-5006e3b92149","A","Primary Lever posting has active apply action and labels Fall 2026. Portfolio flag records explicit request for open-source or technical-project links."
"US015","Vector Institute","Canada","Toronto ON","not stated","2026-07-20","live","Applied AI Internship, Fall 2026","student / early-career applied AI intern","nonprofit AI research institute","Studying in STEM or adjacent eligible discipline; cohort-specific eligibility applies","not stated","Post-secondary STEM or adjacent discipline","not stated","ML implementation; AI program development; health AI depending on placement","Gain hands-on applied AI experience on industry-relevant projects during a 16-32 week term","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","https://vectorinstitute.ai/programs/internships/applied-ai-internships/","A","Primary page explicitly says Fall 2026 applications are now open and gives the term calendar. It mentions portfolio preparation, but does not state a fixed programming stack."
"US016","Tenstorrent","United States","Santa Clara CA","not stated","2026-07-20","live","Machine Learning Applications & Benchmarking Intern","intern","AI hardware startup","CS/ML-related background; Python; PyTorch or TensorFlow; clean reproducible code; performance debugging","not separately stated","CS, ML or related background; exact degree level not stated","not stated","Python; PyTorch; TensorFlow; Tenstorrent AI hardware","Benchmark models; analyze and optimize performance; build demos; contribute to testing and release validation","yes","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4532863007","A","Primary Greenhouse page has an active application. Testing is explicit software/release validation, not inferred from generic experimentation."
"US017","Tenstorrent","Canada","Toronto ON","not stated","2026-07-20","live","AI Compiler Software Intern (PEY)","university intern","AI hardware startup","Pursuing or recently completed EE, CE, CS or related degree; C/C++ and algorithms; Python is bonus","Python; curiosity about compilers, ML, parallel systems or processor architecture","Relevant degree in progress or recently completed","not stated","C/C++; Python; ML graph compiler; AI runtime and hardware","Develop ML graph compiler; benchmark workloads; build performance-analysis tools; co-design across ML, systems and hardware","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4873659007","A","Primary posting is open. Python and ML specialization are explicitly advantageous but not minimum; required/preferred text preserves that distinction."
"US018","Bank of America","United States","Atlanta GA; Charlotte NC; Chicago IL; New York NY","not stated","2026-07-20","live","Quantitative Data Analytics Summer Analyst Program","undergraduate summer analyst","bank","Bachelor or direct-to-master student graduating Nov 2027-Aug 2028; quantitative major; advanced programming/analytical tools including Python, SQL, R, C++, MATLAB or Java","3.5 GPA; Tableau, Hadoop or Power BI for Data Analyst profile","Bachelor or bachelor-to-master in progress","not stated","Python; SQL; R; C++; MATLAB; Java; Tableau; Hadoop; Power BI","Extract, process and interpret data; apply mathematical/statistical models; analyze financial and risk problems","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://careers.bankofamerica.com/en-us/students/job-detail/14420/quantitative-data-analyst-summer-analyst-program-multiple-locations","A","Primary bank page is live with Apply by 2026-11-08. Exact publication date is not stated; program serves a future graduating cohort."
"US019","BMO Financial Group","Canada","Toronto ON","not stated","2026-07-20","archived","Audit Analytics and AI Analyst - Data Science, 6 Month Contract","new or recent graduate","bank","Data extraction, transformation, analysis and visualization; AI/automation support; stakeholder communication; exact degree requirement not stated in captured primary text","not separately stated","New or recent graduate opportunity; exact discipline not stated","not stated","Power BI; Excel; SharePoint; Power Platform; Copilot-integrated tools","Build audit analytics and dashboards; identify AI use cases; automate workflows; support GenAI tools and continuous risk monitoring","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","https://jobs.bmo.com/global/en/job/BOMOGLOBALR260015936EXTERNALENCA/Audit-Analytics-and-AI-Analyst-Data-Science-6-Month-Contract-New-or-Recent-Graduate-Opportunity-Immediate-Start-Date","A","Primary application deadline was 2026-06-18; archived for frequency analysis. The role is valuable as a non-tech employer signal for analytics plus AI workflow skills."
"US020","UC Berkeley CHAI","United States","Berkeley CA; remote possible","not stated","2026-07-20","archived","CHAI Internship 2026","research intern","university research center","Background in ML, CS, mathematics or related field; technical excellence; programming ability assessed","Existing ML research experience strongly advantageous but not required","Undergraduate, master, PhD, researcher or professional engineer profiles accepted","Research experience preferred, not mandatory","No fixed language or framework stated","Execute mentored human-compatible AI research project; participate in seminars; usually target workshop or conference publication","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://chai.berkeley.edu/jobs","A","Primary university page explicitly says 2026 internship applications are closed. Kept as an academic benchmark only."
"US021","Center for AI Safety","United States","San Francisco CA","not stated","2026-07-20","live","Research Engineer Intern, Fall 2026","university research engineer intern","nonprofit AI safety research lab","Current university student; at least one top ML paper; empirical ML research; ability to run and debug experiments; PyTorch familiarity; clear communication","Strong AI-safety-relevant empirical work or meaningful research contribution at leading lab","Current university enrollment; exceptional publication record may relax degree-level fit","Published paper and empirical research track record required","PyTorch; LLM experiments; internal compute cluster","Plan and run experiments; code review; benchmark AI risks; research security, ethics and alignment; co-create publication","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://jobs.lever.co/aisafety/e011814b-9a80-43d6-bb0c-cc153ea4bec4","A","Primary posting has active apply action and deadline 2026-07-31. Portfolio flag captures the explicit publication/research-artifact requirement, not a generic personal website."
"US022","Rivian and Volkswagen Group Technologies","United States","Palo Alto CA","not stated","2026-07-20","live","Data Engineering Intern - AI & Analytics, Fall 2026","AI / data engineering intern","automotive technology joint venture","AI research and development across speech, vision, language and multimodal systems; detailed qualification list not visible in captured primary rendering","not stated","not stated","not stated","Speech, vision, language and multimodal model tooling; exact languages not stated","Build, train, evaluate and deploy AI models for conversational and in-vehicle applications across the full development lifecycle","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","unknown","unknown","unknown","unknown","unknown","unknown","unknown","https://jobs.ashbyhq.com/rivianvw.tech/3864f83a-7b29-4c96-b00e-436d60c0508a","A","Employer ATS explicitly calls this an open active vacancy and provides Fall 2026 dates. JavaScript blocked some detailed qualifications, so no unobserved stack was inferred."
